Section,Day,Period,Course,Faculty,Room
H,Friday,P1,UE24CS551A,F07,Room_G11
H,Friday,P2,UE24CS552A,F13,Room_G11
I,Monday,P1,UE24CS552A,F14,Room_G04
I,Monday,P2,UE24CS551A,F08,Room_G04
I,Tuesday,P3,UE24CS542A,F16,Room_G04
I,Tuesday,P4,UE24CS551A,F08,Room_G04
I,Wednesday,P1,UE24CS552A,F14,Room_G04
I,Wednesday,P2,UE24CS542A,F16,Room_G04
I,Wednesday,P3,UE24CS552A,F14,Room_G04
I,Wednesday,P4,UE24CS551A,F08,Room_G04
I,Thursday,P3,UE24CS551A,F08,Room_G04
I,Thursday,P4,UE24CS542A,F16,Room_G03
I,Friday,P1,UE24CS552A,F14,Room_G03
I,Friday,P2,UE24CS542A,F16,Room_G03
J,Monday,P1,UE24CS551A,F08,Room_G03
J,Monday,P2,UE24CS552A,F14,Room_G03
J,Tuesday,P3,UE24CS551A,F08,Room_G03
J,Tuesday,P4,UE24CS542A,F17,Room_G03
J,Wednesday,P1,UE24CS551A,F08,Room_G03
J,Wednesday,P2,UE24CS542A,F17,Room_G03
J,Wednesday,P3,UE24CS551A,F08,Room_G03
J,Wednesday,P4,UE24CS552A,F14,Room_G03
J,Thursday,P3,UE24CS552A,F14,Room_G03
J,Thursday,P4,UE24CS542A,F17,Room_G02
J,Friday,P1,UE24CS542A,F17,Room_G02
J,Friday,P2,UE24CS552A,F14,Room_G02
K,Monday,P1,UE24CS542A,F17,Room_G02
K,Monday,P2,UE24CS552A,F15,Room_G02
K,Tuesday,P3,UE24CS552A,F15,Room_G02
K,Tuesday,P4,UE24CS551A,F09,Room_G02
K,Wednesday,P1,UE24CS542A,F17,Room_G02
K,Wednesday,P2,UE24CS551A,F09,Room_G02
K,Wednesday,P3,UE24CS552A,F15,Room_G02
K,Wednesday,P4,UE24CS542A,F17,Room_G02
K,Thursday,P3,UE24CS542A,F17,Room_G02
K,Thursday,P4,UE24CS551A,F09,Room_G05
K,Friday,P1,UE24CS552A,F15,Room_G12
K,Friday,P2,UE24CS551A,F09,Room_G12
L,Monday,P1,UE24CS552A,F15,Room_G01
L,Monday,P2,UE24CS542A,F17,Room_G01
L,Tuesday,P3,UE24CS542A,F17,Room_G01
L,Tuesday,P4,UE24CS552A,F15,Room_G01
L,Wednesday,P1,UE24CS551A,F09,Room_G01
L,Wednesday,P2,UE24CS552A,F15,Room_G01
L,Wednesday,P3,UE24CS542A,F17,Room_G01
L,Wednesday,P4,UE24CS551A,F09,Room_G01
L,Thursday,P3,UE24CS551A,F09,Room_G01
L,Thursday,P4,UE24CS552A,F15,Room_G01
L,Friday,P1,UE24CS551A,F09,Room_G01
L,Friday,P2,UE24CS542A,F17,Room_G01
