Section,Day,Period,Course,Faculty,Room
H,Wednesday,P1,WT,F19,201
I,Wednesday,P1,DDCO,F08,202
J,Wednesday,P1,MATH,F17,302
K,Wednesday,P1,WT,F20,301
L,Wednesday,P1,DDCO,F09,104
A,Wednesday,P2,DDCO,F04,G06
B,Wednesday,P2,WT,F03,G07
C,Wednesday,P2,DSA,F11,G08
D,Wednesday,P2,DDCO,F05,G09
E,Wednesday,P2,DSA,F12,101
F,Wednesday,P2,DDCO,F06,102
G,Wednesday,P2,WT,F19,103
H,Wednesday,P2,DSA,F13,201
I,Wednesday,P2,MATH,F16,202
J,Wednesday,P2,DDCO,F08,302
K,Wednesday,P2,DDCO,F09,301
L,Wednesday,P2,WT,F20,104
A,Wednesday,P3,DSA,F10,G06
B,Wednesday,P3,MATH,F01,G07
C,Wednesday,P3,WT,F03,G08
D,Wednesday,P3,AFLL,F17,G09
E,Wednesday,P3,WT,F18,101
F,Wednesday,P3,MATH,F02,102
G,Wednesday,P3,DDCO,F07,103
H,Wednesday,P3,MATH,F16,201
I,Wednesday,P3,AFLL,F12,202
J,Wednesday,P3,WT,F20,302
K,Wednesday,P3,AFLL,F14,301
L,Wednesday,P3,DSA,F15,104
A,Wednesday,P4,MATH,F01,G06
B,Wednesday,P4,DSA,F10,G07
C,Wednesday,P4,AFLL,F06,G08
D,Wednesday,P4,MATH,F02,G09
E,Wednesday,P4,AFLL,F08,101
F,Wednesday,P4,WT,F18,102
G,Wednesday,P4,MATH,F16,103
H,Wednesday,P4,DDCO,F07,201
I,Wednesday,P4,WT,F19,202
J,Wednesday,P4,AFLL,F12,302
K,Wednesday,P4,DSA,F15,301
L,Wednesday,P4,AFLL,F14,104
A,Thursday,P1,MATH,F01,G06
B,Thursday,P1,DDCO,F04,G07
C,Thursday,P1,WT,F03,G08
D,Thursday,P1,WT,F18,G09
E,Thursday,P1,AFLL,F08,101
F,Thursday,P1,DDCO,F06,102
G,Thursday,P1,DSA,F13,103
H,Thursday,P1,AFLL,F19,201
I,Thursday,P1,MATH,F16,202
J,Thursday,P1,DSA,F14,302
K,Thursday,P1,WT,F20,301
L,Thursday,P1,DDCO,F09,104
A,Thursday,P2,DDCO,F04,G06
B,Thursday,P2,WT,F03,G07
C,Thursday,P2,MATH,F01,G08
D,Thursday,P2,MATH,F02,G09
E,Thursday,P2,DDCO,F06,101
F,Thursday,P2,WT,F18,102
G,Thursday,P2,MATH,F16,103
H,Thursday,P2,WT,F19,201
I,Thursday,P2,DSA,F14,202
J,Thursday,P2,MATH,F17,302
K,Thursday,P2,DDCO,F09,301
L,Thursday,P2,WT,F20,104
A,Thursday,P3,WT,F03,G06
B,Thursday,P3,MATH,F01,G07
C,Thursday,P3,DDCO,F05,G08
D,Thursday,P3,DSA,F11,G09
E,Thursday,P3,MATH,F02,101
F,Thursday,P3,DSA,F12,102
G,Thursday,P3,WT,F19,103
H,Thursday,P3,MATH,F16,201
I,Thursday,P3,DDCO,F08,202
J,Thursday,P3,WT,F20,302
K,Thursday,P3,AFLL,F14,301
L,Thursday,P3,MATH,F17,104
A,Thursday,P4,AFLL,F04,G06
B,Thursday,P4,AFLL,F16,G07
C,Thursday,P4,DSA,F11,G08
D,Thursday,P4,DDCO,F05,G09
E,Thursday,P4,DSA,F12,101
F,Thursday,P4,AFLL,F18,102
G,Thursday,P4,AFLL,F10,103
H,Thursday,P4,DSA,F13,201
I,Thursday,P4,WT,F19,202
J,Thursday,P4,DDCO,F08,302
K,Thursday,P4,MATH,F17,301
L,Thursday,P4,AFLL,F14,104
A,Friday,P1,AFLL,F04,G06
B,Friday,P1,MATH,F01,G07
C,Friday,P1,AFLL,F06,G08
D,Friday,P1,AFLL,F17,G09
E,Friday,P1,DSA,F12,101
F,Friday,P1,AFLL,F18,102
G,Friday,P1,AFLL,F10,103
H,Friday,P1,AFLL,F19,201
I,Friday,P1,MATH,F16,202
J,Friday,P1,DSA,F14,302
K,Friday,P1,WT,F20,301
L,Friday,P1,DSA,F15,104
A,Friday,P2,MATH,F01,G06
B,Friday,P2,DSA,F10,G07
C,Friday,P2,WT,F03,G08
D,Friday,P2,WT,F18,G09
E,Friday,P2,MATH,F02,101
F,Friday,P2,DSA,F12,102
G,Friday,P2,WT,F19,103
H,Friday,P2,MATH,F16,201
I,Friday,P2,DSA,F14,202
J,Friday,P2,MATH,F17,302
K,Friday,P2,DSA,F15,301
L,Friday,P2,WT,F20,104
A,Friday,P3,DSA,F10,G06
B,Friday,P3,WT,F03,G07
C,Friday,P3,MATH,F01,G08
D,Friday,P3,DDCO,F05,G09
E,Friday,P3,WT,F18,101
F,Friday,P3,MATH,F02,102
G,Friday,P3,MATH,F16,103
H,Friday,P3,DDCO,F07,201
I,Friday,P3,WT,F19,202
J,Friday,P3,AFLL,F12,302
K,Friday,P3,AFLL,F14,301
L,Friday,P3,MATH,F17,104
A,Friday,P4,WT,F03,G06
B,Friday,P4,AFLL,F16,G07
C,Friday,P4,DDCO,F05,G08
D,Friday,P4,MATH,F02,G09
E,Friday,P4,AFLL,F08,101
F,Friday,P4,WT,F18,102
G,Friday,P4,DDCO,F07,103
H,Friday,P4,WT,F19,201
I,Friday,P4,AFLL,F12,202
J,Friday,P4,WT,F20,302
K,Friday,P4,MATH,F17,301
L,Friday,P4,AFLL,F14,104
